timestamp,open,high,low,close,volume,turnover
1749357120000,134716,134716,127907.9,130400,2.555,332616.408
1749357060000,134851,135200,134521.8,134716,0.037,4982.9662
1749357000000,134985.7,135200,134521.8,134851,0.058,7828.5475
1749356940000,135200,136000,134985.7,134985.7,0.091,12324.2662
1749356880000,135197.8,135288.4,135000,135200,0.009,1216.5139
1749356820000,134928,135197.8,133755.2,135197.8,0.141,18956.9616
1749356760000,134627.4,135013.5,134053,134928,0.11,14795.9232
1749356700000,135721.9,135721.9,134521.8,134627.4,0.065,8763.2216
1749356640000,133755.2,135928.8,133755.2,135721.9,0.32,43272.6109
1749356580000,133755.2,133755.2,133755.2,133755.2,0,0
1749356520000,135288.4,135340,133755.2,133755.2,0.283,38179.2352
1749356460000,134056.3,135288.4,134056.3,135288.4,0.03,4041.2637
1749356400000,134521.8,135200,134056.3,134056.3,0.064,8607.5963
1749356340000,134242,135288.4,134242,134521.8,0.173,23294.3699
1749356280000,134069.7,134242,133404,134242,0.035,4681.744
1749356220000,134330,134330,132988.6,134069.7,0.113,15098.2965
1749356160000,134521.8,134521.8,134200,134330,0.028,3764.0592
1749356100000,134600,134600,133647.1,134521.8,0.044,5902.2061
1749356040000,133400,134985.7,133400,134600,0.212,28456.8322
1749355980000,133400,133400,133400,133400,0,0
1749355920000,133995,134000,133000,133400,0.058,7744.5538
1749355860000,134613.5,134613.5,133755.2,133995,0.053,7105.207
1749355800000,134600,134613.5,133755.2,134613.5,0.035,4694.502
1749355740000,133146,134829.7,133146,134600,0.193,25908.5192
1749355680000,133146,133146,133146,133146,0,0
1749355620000,132916.1,133755.2,132916.1,133146,0.034,4535.4428
1749355560000,134675,134675,132916.1,132916.1,0.23,30828.3546
1749355500000,134627.4,134675,133991.4,134675,0.147,19777.7856
1749355440000,133400,135000,133400,134627.4,0.126,16933.1403
1749355380000,133684.4,133684.4,133400,133400,0.003,400.2
1749355320000,132988.6,133684.4,132988.6,133684.4,0.044,5871.7284
1749355260000,134271,134271,132988.6,132988.6,0.147,19642.5319
1749355200000,133400,134271,132988.6,134271,0.092,12281.8983
1749355140000,132600,133937.4,132386.7,133400,0.046,6127.0165
1749355080000,132222,132600,132222,132600,0.006,795.2
1749355020000,133755.2,133755.2,132222,132222,0.039,5185.5876
1749354960000,132916.1,133755.2,132222,133755.2,0.316,42010.0422
1749354900000,133400,134056.3,132197.4,132916.1,0.268,35674.5642
1749354840000,135400,136740.3,133126.8,133400,0.392,52899.8376
1749354780000,133386.6,135400,133386.6,135400,0.074,9992.9573
1749354720000,133647.1,135046.9,133386.6,133386.6,0.15,20129.4497
1749354660000,132600,133647.1,132600,133647.1,0.049,6533.1239
1749354600000,132579.9,132988.6,131260.6,132600,0.194,25636.7432
1749354540000,132345.7,133400,131054.1,132579.9,0.391,51463.9905
1749354480000,133486.5,133647.1,131267.9,132345.7,0.225,29772.4932
1749354420000,133486.5,133937.4,131276.2,133486.5,0.231,30640.1563
1749354360000,133400,134521.8,132222,133486.5,0.193,25714.046
1749354300000,133200,134200.2,132988.6,133400,0.295,39554.6001
1749354240000,133800,134056.3,132988.6,133200,0.052,6939.6145
1749354180000,133800,133850,133200,133800,0.053,7081.7496
1749354120000,133800,133850,133600,133800,0.205,27426.832
1749354060000,133674,134000,132916.1,133800,0.1,13361.5457
1749354000000,133602,133674,133400,133674,0.016,2138.51
1749353940000,133126.8,133674,132897.1,133602,0.054,7194.3407
1749353880000,132988.6,133126.8,132988.6,133126.8,0.018,2394.6468
1749353820000,132916.1,132988.6,132916.1,132988.6,0.024,3191.6232
1749353760000,133600,133800,132153.7,132916.1,0.114,15163.863
1749353700000,133937.4,134000,133069,133600,0.056,7483.4321
1749353640000,133400,133937.4,133400,133937.4,0.01,1337.8186
1749353580000,133400,133400,133400,133400,0,0
1749353520000,134056.3,134056.3,132988.6,133400,0.034,4534.9805
1749353460000,132988.6,134056.3,132988.6,134056.3,0.043,5741.3319
1749353400000,133000,133000,132988.6,132988.6,0.004,531.9544
1749353340000,134050,134050,133000,133000,0.03,4003.1443
1749353280000,134050,134050,134050,134050,0,0
1749353220000,132222,134050,132222,134050,0.06,8022.9563
1749353160000,132916.1,133755.2,132222,132222,0.108,14364.531
1749353100000,132800,133600,132800,132916.1,0.01,1333.0891
1749353040000,132988.6,133069,132800,132800,0.021,2792.2446
1749352980000,132988.6,132988.6,132988.6,132988.6,0,0
1749352920000,134000,134050,132988.6,132988.6,0.26,34785.2702
1749352860000,133600,134200.2,132800,134000,0.136,18193.2798
1749352800000,133486.5,133602,133400,133600,0.009,1201.8905
1749352740000,132600,133486.5,132600,133486.5,0.015,1997.5357
1749352680000,132222,132600,132222,132600,0.002,265.2
1749352620000,132300.5,132300.5,132222,132222,0.003,396.666
1749352560000,133126.8,133755.2,132222,132300.5,0.097,12904.333
1749352500000,133126.8,133126.8,133126.8,133126.8,0.002,266.2536
1749352440000,132988.6,133126.8,132922.7,133126.8,0.028,3723.8932
1749352380000,132988.6,132988.6,132988.6,132988.6,0,0
1749352320000,132222,132988.6,132222,132988.6,0.066,8750.9258
